order_number,customer_key,product_key,customer_id,product_id
SO43793,1,,11000,
SO43767,2,,11001,
SO43736,3,,11002,
SO43701,4,,11003,
SO43810,5,,11004,
SO43704,6,,11005,
SO43819,7,,11006,
SO43743,8,,11007,
SO43826,9,,11008,
SO43837,10,,11009,
SO43765,11,,11010,
SO43705,12,,11011,
SO43757,18,,11017,
SO43778,19,,11018,
SO43732,26,,11025,
SO43811,27,,11026,
SO43775,28,,11027,
SO43831,29,,11028,
SO43794,30,,11029,
SO43956,31,,11030,
SO43933,32,,11031,
SO44021,33,,11032,
SO43998,34,,11033,
SO43934,35,,11034,
SO43959,36,,11035,
SO43965,39,,11038,
SO43966,40,,11039,
SO44073,45,,11044,
SO43960,47,,11046,
SO43948,48,,11047,
SO43980,49,,11048,
SO44029,51,,11050,
SO44012,53,,11052,
SO43944,55,,11054,
SO43926,56,,11055,
SO44058,57,,11056,
SO44040,58,,11057,
SO44180,59,,11058,
SO44220,61,,11060,
SO44190,62,,11061,
SO44416,70,,11069,
SO44467,71,,11070,
SO44323,73,,11072,
SO44468,76,,11075,
SO44437,77,,11076,
SO44407,78,,11077,
SO44379,81,,11080,
SO45389,91,,11090,
SO44364,93,,11092,
SO44355,94,,11093,
SO44325,96,,11095,
SO44387,97,,11096,
SO44337,98,,11097,
SO44356,100,,11099,
SO44412,101,,11100,
SO44475,102,,11101,
SO44408,104,,11103,
SO44589,105,,11104,
SO44655,106,,11105,
SO44679,107,,11106,
SO44574,108,,11107,
SO44581,109,,11108,
SO44627,110,,11109,
SO44575,111,,11110,
SO44690,112,,11111,
SO44712,113,,11112,
SO44601,118,,11117,
SO44657,121,,11120,
SO44595,125,,11124,
SO44728,127,,11126,
SO45382,130,,11129,
SO44582,135,,11134,
SO44650,148,,11147,
SO44662,152,,11151,
SO45463,172,,11171,
SO45512,176,,11175,
SO45500,190,,11189,
SO45413,192,,11191,
SO45441,217,,11216,
SO45404,218,,11217,
SO45387,225,,11224,
SO45359,228,,11227,
SO45631,238,,11237,
SO43729,239,,11238,
SO43788,240,,11239,
SO44063,241,,11240,
SO44032,244,,11243,
SO43988,245,,11244,
SO45765,246,,11245,
SO45840,247,,11246,
SO44016,248,,11247,
SO45872,250,,11249,
SO44206,251,,11250,
