prd_key,count
FR-R72Y-42,2
BK-R50R-60,2
GL-H102-M,2
FR-R38R-44,2
BK-R64Y-48,2
FR-R92B-48,2
LJ-0192-L,3
BK-R64Y-44,2
FR-M94S-42,3
BK-R89B-48,2
FR-M94S-38,3
FR-R92B-52,2
CA-1098,3
FR-R92B-44,2
LJ-0192-M,3
FR-R72Y-38,2
BK-R50B-44,2
FR-M94B-46,3
HB-M763,2
FR-R72Y-48,2
FR-R38R-48,2
FR-R92R-44,3
FR-R92R-62,3
FR-R38R-58,2
HB-R504,2
BK-M68B-46,2
FR-R92R-48,3
BK-M68S-38,2
HL-U509-R,3
FR-R38B-48,3
HL-U509,3
HB-M918,2
FR-R38B-62,3
GL-H102-S,2
BK-R89B-52,2
FR-R92R-56,3
BK-M68S-42,2
FR-R72Y-44,2
FR-R92B-62,2
BK-R50R-44,2
BK-R50B-48,2
HB-R956,2
FR-R38R-52,2
GL-H102-L,2
HB-R720,2
LJ-0192-X,3
BK-R50R-62,2
FR-R38R-62,2
BK-R89B-58,2
BK-R64Y-38,2
FR-R38B-60,3
LJ-0192-S,3
BK-M68B-42,2
BK-R64Y-40,2
FR-R38B-44,3
FR-M94B-42,3
FR-R38B-52,3
FR-R92R-52,3
BK-R50B-60,2
BK-R50B-52,2
FR-R72Y-40,2
BK-R50B-58,2
FR-R38R-60,2
HL-U509-B,3
BK-R50R-48,2
FR-M94S-46,3
HB-M243,2
BK-M68B-38,2
BK-M68S-46,2
BK-R89B-44,2
BK-R50R-58,2
BK-R64Y-42,2
FR-R38B-58,3
BK-R50R-52,2
BK-R50B-62,2
BK-R89R-58,2
FR-M94B-38,3
